month,organization,sub_org,downloads_tot,visits_tot
2016-12,bc agency,agricultural land commission,21.0,103.0
2016-12,bc agency,bc assessment authority,2.0,11.0
2016-12,bc agency,bc hydro and power authority,20.0,91.0
2016-12,bc agency,bc public service agency,1.0,8.0
2016-12,bc agency,destination bc,7.0,55.0
2016-12,bc agency,elections bc,22.0,246.0
2016-12,"bc agency, land title and survey authority of bc - ltsa",ltsa,26.0,70.0
2016-12,bc agency,oil and gas commission,70.0,608.0
2016-12,bc agency,worksafebc,0.0,11.0
2016-12,government communications and public engagement,citizen engagement,3.0,9.0
2016-12,government of canada,canadian wildlife service,8.0,83.0
2016-12,government of canada,environment canada,35.0,106.0
2016-12,government of canada,fisheries and oceans canada,2.0,17.0
2016-12,government of canada,natural resources canada,8.0,46.0
2016-12,government of canada,royal canadian mounted police,9.0,26.0
2016-12,local government,cowichan valley regional district,1.0,1.0
2016-12,local government,greater vancouver regional district,3.0,28.0
2016-12,"local government, municipality of north cowichan",north cowichan,2.0,34.0
2016-12,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,2.0,30.0
2016-12,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,10.0,98.0
2016-12,ministry of aboriginal relations and reconciliation,lands and resources,28.0,99.0
2016-12,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,1.0,2.0
2016-12,ministry of advanced education,advanced education,2.0,32.0
2016-12,ministry of advanced education,post secondary audit and accountability,31.0,112.0
2016-12,"ministry of advanced education, post-secondary finance",post secondary finance,55.0,150.0
2016-12,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,43.0,215.0
2016-12,ministry of agriculture,food safety and inspection,1.0,67.0
2016-12,"ministry of children and family development, information management - cfd",information management cfd,25.0,82.0
2016-12,ministry of children and family development,integrated quality assurance,1.0,3.0
2016-12,ministry of children and family development,provincial interface and partnerships team,1.0,19.0
2016-12,"ministry of community, sport and cultural development",bc film commission,2.0,2.0
2016-12,"ministry of community, sport and cultural development",community gaming grants,10.0,38.0
2016-12,"ministry of community, sport and cultural development",governance and structure,25.0,141.0
2016-12,"ministry of community, sport and cultural development",local government infrastructure and finance,9.0,61.0
2016-12,ministry of education,analysis and reporting,80.0,440.0
2016-12,ministry of education,governance and legislation,1.0,13.0
2016-12,ministry of education,libraries and literacy,18.0,61.0
2016-12,ministry of energy and mines,bc geological survey,117.0,394.0
2016-12,ministry of energy and mines,health and safety and permitting,2.0,8.0
2016-12,ministry of energy and mines,mineral titles,256.0,722.0
2016-12,ministry of energy and mines,mines and mineral resources division,3.0,6.0
2016-12,ministry of environment,climate action secretariat,11.0,93.0
2016-12,ministry of environment,conservation officer service,1.0,2.0
2016-12,ministry of environment,conservation science section,3.0,14.0
2016-12,ministry of environment,ecosystems,82.0,447.0
2016-12,ministry of environment,environmental assessment office,3.0,10.0
2016-12,ministry of environment,environmental emergencies and land remediation,13.0,53.0
2016-12,ministry of environment,environmental management,1.0,18.0
2016-12,ministry of environment,environmental protection division,2.0,25.0
2016-12,ministry of environment,environmental quality,1.0,2.0
2016-12,ministry of environment,environmental standards,9.0,69.0
2016-12,ministry of environment,fish and wildlife compensation program,8.0,39.0
2016-12,ministry of environment,knowledge management,349.0,1331.0
2016-12,ministry of environment,parks planning and management,39.0,273.0
2016-12,ministry of environment,regional operations,4.0,19.0
2016-12,ministry of environment,strategic policy,2.0,9.0
2016-12,ministry of environment,visitor programs,0.0,4.0
2016-12,ministry of environment,water protection and sustainability,84.0,309.0
2016-12,ministry of finance,debt management,2.0,3.0
2016-12,ministry of finance,financial reporting and advisory services,32.0,418.0
2016-12,ministry of finance,gaming policy and enforcement,3.0,7.0
2016-12,"ministry of finance, privacy, compliance and training",privacy and legislation,67.0,129.0
2016-12,ministry of finance,public sector employers council secretariat,4.0,7.0
2016-12,ministry of finance,treasury board staff,44.0,111.0
2016-12,"ministry of forests, lands and natural resource operations",archaeology,29.0,119.0
2016-12,"ministry of forests, lands and natural resource operations",authorization initiatives branch,4.0,12.0
2016-12,"ministry of forests, lands and natural resource operations ",bc timber sales,0.0,9.0
2016-12,"ministry of forests, lands and natural resource operations",bc wildfire service,73.0,386.0
2016-12,"ministry of forests, lands and natural resource operations",ecosystem based management,0.0,2.0
2016-12,"ministry of forests, lands and natural resource operations",first nations relations,0.0,4.0
2016-12,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,208.0,691.0
2016-12,"ministry of forests, lands and natural resource operations",forest analysis and inventory,289.0,1211.0
2016-12,"ministry of forests, lands and natural resource operations",forest tenures,141.0,859.0
2016-12,"ministry of forests, lands and natural resource operations",geobc,842.0,4472.0
